"Team","Round 1","Round 2","Round 3","Round 4","Round 5","Round 6","Round 7","Round 8","Round 9","Round 10","Round 11","Round 12","Round 13","Round 14","Round 15"
"Union","Home vs Cercle Brugge","Away vs Antwerp","Home vs Gent","Away vs STVV","Home vs Anderlecht","Away vs Charleroi","Home vs Kortrijk","Away vs Westerlo","Home vs Club Brugge","Away vs Mechelen","Home vs Standard","Away vs Genk","Home vs Eupen","Away vs OHL","Home vs Molenbeek"
"Anderlecht","Away vs Mechelen","Home vs Club Brugge","Away vs Genk","Home vs Standard","Away vs Union","Home vs OHL","Away vs Antwerp","Home vs Eupen","Away vs Cercle Brugge","Home vs Molenbeek","Away vs Westerlo","Home vs STVV","Away vs Charleroi","Home vs Gent","Away vs Kortrijk"
"Antwerp","Away vs Molenbeek","Home vs Union","Home vs Westerlo","Away vs Cercle Brugge","Home vs Gent","Away vs STVV","Home vs Anderlecht","Away vs Genk","Home vs Kortrijk","Away vs Charleroi","Home vs Club Brugge","Away vs Mechelen","Home vs OHL","Away vs Standard","Home vs Eupen"
"Club Brugge","Home vs Kortrijk","Away vs Anderlecht","Away vs Mechelen","Home vs Genk","Away vs OHL","Home vs Eupen","Away vs Standard","Home vs Molenbeek","Away vs Union","Home vs Gent","Away vs Antwerp","Home vs Cercle Brugge","Away vs STVV","Home vs Westerlo","Away vs Charleroi"
"Cercle Brugge","Away vs Union","Home vs Molenbeek","Away vs Eupen","Home vs Antwerp","Home vs STVV","Away vs Gent","Home vs Westerlo","Away vs Charleroi","Home vs Anderlecht","Away vs Kortrijk","Home vs Genk","Away vs Club Brugge","Home vs Standard","Away vs Mechelen","Home vs OHL"
"Genk","Home vs Charleroi","Away vs Kortrijk","Home vs Anderlecht","Away vs Club Brugge","Away vs Standard","Home vs Mechelen","Away vs Gent","Home vs Antwerp","Away vs OHL","Home vs Eupen","Away vs Cercle Brugge","Home vs Union","Away vs Molenbeek","Home vs STVV","Away vs Westerlo"
"Gent","Away vs OHL","Home vs Eupen","Away vs Union","Home vs Molenbeek","Away vs Antwerp","Home vs Cercle Brugge","Home vs Genk","Away vs STVV","Home vs Westerlo","Away vs Club Brugge","Home vs Charleroi","Away vs Kortrijk","Home vs Mechelen","Away vs Anderlecht","Home vs Standard"
"Mechelen","Home vs Anderlecht","Away vs Westerlo","Home vs Club Brugge","Away vs Charleroi","Home vs Kortrijk","Away vs Genk","Away vs OHL","Home vs Standard","Away vs Molenbeek","Home vs Union","Away vs Eupen","Home vs Antwerp","Away vs Gent","Home vs Cercle Brugge","Away vs STVV"
"STVV","Away vs Eupen","Home vs Standard","Away vs OHL","Home vs Union","Away vs Cercle Brugge","Home vs Antwerp","Away vs Molenbeek","Home vs Gent","Home vs Charleroi","Away vs Westerlo","Home vs Kortrijk","Away vs Anderlecht","Home vs Club Brugge","Away vs Genk","Home vs Mechelen"
"Standard","Home vs Westerlo","Away vs STVV","Home vs Charleroi","Away vs Anderlecht","Home vs Genk","Away vs Kortrijk","Home vs Club Brugge","Away vs Mechelen","Away vs Eupen","Home vs OHL","Away vs Union","Home vs Molenbeek","Away vs Cercle Brugge","Home vs Antwerp","Away vs Gent"
"Westerlo","Away vs Standard","Home vs Mechelen","Away vs Antwerp","Home vs OHL","Away vs Eupen","Home vs Molenbeek","Away vs Cercle Brugge","Home vs Union","Away vs Gent","Home vs STVV","Home vs Anderlecht","Away vs Charleroi","Home vs Kortrijk","Away vs Club Brugge","Home vs Genk"
"OHL","Home vs Gent","Away vs Charleroi","Home vs STVV","Away vs Westerlo","Home vs Club Brugge","Away vs Anderlecht","Home vs Mechelen","Away vs Kortrijk","Home vs Genk","Away vs Standard","Away vs Molenbeek","Home vs Eupen","Away vs Antwerp","Home vs Union","Away vs Cercle Brugge"
"Charleroi","Away vs Genk","Home vs OHL","Away vs Standard","Home vs Mechelen","Away vs Molenbeek","Home vs Union","Away vs Eupen","Home vs Cercle Brugge","Away vs STVV","Home vs Antwerp","Away vs Gent","Home vs Westerlo","Home vs Anderlecht","Away vs Kortrijk","Home vs Club Brugge"
"Eupen","Home vs STVV","Away vs Gent","Home vs Cercle Brugge","Away vs Kortrijk","Home vs Westerlo","Away vs Club Brugge","Home vs Charleroi","Away vs Anderlecht","Home vs Standard","Away vs Genk","Home vs Mechelen","Away vs OHL","Away vs Union","Home vs Molenbeek","Away vs Antwerp"
"Kortrijk","Away vs Club Brugge","Home vs Genk","Away vs Molenbeek","Home vs Eupen","Away vs Mechelen","Home vs Standard","Away vs Union","Home vs OHL","Away vs Antwerp","Home vs Cercle Brugge","Away vs STVV","Home vs Gent","Away vs Westerlo","Home vs Charleroi","Home vs Anderlecht"
"Molenbeek","Home vs Antwerp","Away vs Cercle Brugge","Home vs Kortrijk","Away vs Gent","Home vs Charleroi","Away vs Westerlo","Home vs STVV","Away vs Club Brugge","Home vs Mechelen","Away vs Anderlecht","Home vs OHL","Away vs Standard","Home vs Genk","Away vs Eupen","Away vs Union"
