"Team","Round 1","Round 2","Round 3","Round 4","Round 5","Round 6","Round 7","Round 8","Round 9","Round 10","Round 11","Round 12","Round 13","Round 14","Round 15"
"Union","Away vs Gent","Home vs Antwerp","Away vs Cercle Brugge","Home vs STVV","Away vs Kortrijk","Home vs Charleroi","Away vs Anderlecht","Home vs Westerlo","Away vs Standard","Home vs Mechelen","Away vs Club Brugge","Home vs Genk","Away vs Eupen","Home vs OHL","Away vs Molenbeek"
"Anderlecht","Home vs Mechelen","Away vs Club Brugge","Home vs Genk","Away vs Standard","Home vs Antwerp","Away vs OHL","Home vs Union","Away vs Eupen","Home vs Cercle Brugge","Away vs Molenbeek","Home vs Westerlo","Away vs STVV","Home vs Charleroi","Away vs Gent","Home vs Kortrijk"
"Antwerp","Home vs Molenbeek","Away vs Union","Away vs Gent","Home vs Cercle Brugge","Away vs Anderlecht","Home vs STVV","Away vs Westerlo","Home vs Genk","Away vs Club Brugge","Home vs Charleroi","Away vs Kortrijk","Home vs Mechelen","Away vs OHL","Home vs Standard","Away vs Eupen"
"Club Brugge","Away vs Kortrijk","Home vs Anderlecht","Home vs OHL","Away vs Genk","Home vs Mechelen","Away vs Eupen","Home vs Standard","Away vs Molenbeek","Home vs Antwerp","Away vs Gent","Home vs Union","Away vs Cercle Brugge","Home vs STVV","Away vs Westerlo","Home vs Charleroi"
"Cercle Brugge","Home vs Eupen","Away vs Molenbeek","Home vs Union","Away vs Antwerp","Away vs Westerlo","Home vs Gent","Away vs STVV","Home vs Charleroi","Away vs Anderlecht","Home vs Kortrijk","Away vs Genk","Home vs Club Brugge","Away vs Standard","Home vs Mechelen","Away vs OHL"
"Genk","Away vs Charleroi","Home vs Kortrijk","Away vs Anderlecht","Home vs Club Brugge","Home vs Standard","Away vs Mechelen","Home vs OHL","Away vs Antwerp","Home vs Molenbeek","Away vs Eupen","Home vs Cercle Brugge","Away vs Union","Home vs Gent","Away vs STVV","Home vs Westerlo"
"Gent","Home vs Union","Away vs Eupen","Home vs Antwerp","Away vs Molenbeek","Home vs OHL","Away vs Cercle Brugge","Away vs Charleroi","Home vs STVV","Away vs Westerlo","Home vs Club Brugge","Away vs Mechelen","Home vs Kortrijk","Away vs Genk","Home vs Anderlecht","Away vs Standard"
"Mechelen","Away vs Anderlecht","Home vs Westerlo","Away vs Kortrijk","Home vs Charleroi","Away vs Club Brugge","Home vs Genk","Home vs Eupen","Away vs Standard","Home vs OHL","Away vs Union","Home vs Gent","Away vs Antwerp","Home vs Molenbeek","Away vs Cercle Brugge","Home vs STVV"
"STVV","Home vs OHL","Away vs Standard","Home vs Molenbeek","Away vs Union","Home vs Eupen","Away vs Antwerp","Home vs Cercle Brugge","Away vs Gent","Away vs Kortrijk","Home vs Westerlo","Away vs Charleroi","Home vs Anderlecht","Away vs Club Brugge","Home vs Genk","Away vs Mechelen"
"Standard","Away vs Westerlo","Home vs STVV","Away vs Charleroi","Home vs Anderlecht","Away vs Genk","Home vs Kortrijk","Away vs Club Brugge","Home vs Mechelen","Home vs Union","Away vs OHL","Home vs Eupen","Away vs Molenbeek","Home vs Cercle Brugge","Away vs Antwerp","Home vs Gent"
"Westerlo","Home vs Standard","Away vs Mechelen","Home vs Eupen","Away vs OHL","Home vs Cercle Brugge","Away vs Molenbeek","Home vs Antwerp","Away vs Union","Home vs Gent","Away vs STVV","Away vs Anderlecht","Home vs Charleroi","Away vs Kortrijk","Home vs Club Brugge","Away vs Genk"
"OHL","Away vs STVV","Home vs Charleroi","Away vs Club Brugge","Home vs Westerlo","Away vs Gent","Home vs Anderlecht","Away vs Genk","Home vs Kortrijk","Away vs Mechelen","Home vs Standard","Home vs Molenbeek","Away vs Eupen","Home vs Antwerp","Away vs Union","Home vs Cercle Brugge"
"Charleroi","Home vs Genk","Away vs OHL","Home vs Standard","Away vs Mechelen","Home vs Molenbeek","Away vs Union","Home vs Gent","Away vs Cercle Brugge","Home vs Eupen","Away vs Antwerp","Home vs STVV","Away vs Westerlo","Away vs Anderlecht","Home vs Kortrijk","Away vs Club Brugge"
"Eupen","Away vs Cercle Brugge","Home vs Gent","Away vs Westerlo","Home vs Kortrijk","Away vs STVV","Home vs Club Brugge","Away vs Mechelen","Home vs Anderlecht","Away vs Charleroi","Home vs Genk","Away vs Standard","Home vs OHL","Home vs Union","Away vs Molenbeek","Home vs Antwerp"
"Kortrijk","Home vs Club Brugge","Away vs Genk","Home vs Mechelen","Away vs Eupen","Home vs Union","Away vs Standard","Home vs Molenbeek","Away vs OHL","Home vs STVV","Away vs Cercle Brugge","Home vs Antwerp","Away vs Gent","Home vs Westerlo","Away vs Charleroi","Away vs Anderlecht"
"Molenbeek","Away vs Antwerp","Home vs Cercle Brugge","Away vs STVV","Home vs Gent","Away vs Charleroi","Home vs Westerlo","Away vs Kortrijk","Home vs Club Brugge","Away vs Genk","Home vs Anderlecht","Away vs OHL","Home vs Standard","Away vs Mechelen","Home vs Eupen","Home vs Union"
